-75.5,4, TEXTURE ,3083,45,40,15,0, FAO , SAMERICA 
-75.5,4.5, TEXTURE ,3081,25,30,45,0, FAO , SAMERICA 
-75.5,5, TEXTURE ,3078,45,40,15,0, FAO , SAMERICA 
-75.5,5.5, TEXTURE ,3076,45,40,15,0, FAO , SAMERICA 
-75.5,6, TEXTURE ,3073,45,40,15,0, FAO , SAMERICA 
-75.5,6.5, TEXTURE ,3070,25,30,45,0, FAO , SAMERICA 
-75.5,7, TEXTURE ,3067,25,30,45,0, FAO , SAMERICA 
-75.5,7.5, TEXTURE ,3063,25,30,45,0, FAO , SAMERICA 
-75.5,8, TEXTURE ,3059,25,30,45,0, FAO , SAMERICA 
-75.5,8.5, TEXTURE ,3055,25,30,45,0, FAO , SAMERICA 
-75.5,9, TEXTURE ,3051,25,30,45,0, FAO , SAMERICA 
-75.5,9.5, TEXTURE ,3047,25,30,45,0, FAO , SAMERICA 
-75.5,10, TEXTURE ,3042,25,30,45,0, FAO , SAMERICA 
-75.5,10.5, TEXTURE ,3037,25,30,45,0, FAO , SAMERICA 
-75,0, TEXTURE ,3091,45,40,15,0, FAO , SAMERICA 
-75,0.5, TEXTURE ,3091,45,40,15,0, FAO , SAMERICA 
-75,1, TEXTURE ,3091,25,30,45,0, FAO , SAMERICA 
-75,1.5, TEXTURE ,3090,25,30,45,0, FAO , SAMERICA 
-75,2, TEXTURE ,3089,25,30,45,0, FAO , SAMERICA 
-75,2.5, TEXTURE ,3088,25,30,45,0, FAO , SAMERICA 
-75,3, TEXTURE ,3086,45,40,15,0, FAO , SAMERICA 
-75,3.5, TEXTURE ,3085,45,40,15,0, FAO , SAMERICA 
-75,4, TEXTURE ,3083,45,40,15,0, FAO , SAMERICA 
-75,4.5, TEXTURE ,3081,45,40,15,0, FAO , SAMERICA 
-75,5, TEXTURE ,3078,45,40,15,0, FAO , SAMERICA 
-75,5.5, TEXTURE ,3076,25,30,45,0, FAO , SAMERICA 
-75,6, TEXTURE ,3073,25,30,45,0, FAO , SAMERICA 
-75,6.5, TEXTURE ,3070,25,30,45,0, FAO , SAMERICA 
