-71.5,9, phh2o ,3051,7.71881, SAMERICA
-71.5,10, phh2o ,3042,6.83557, SAMERICA
-71.5,10.5, phh2o ,3037,8.01181, SAMERICA
-71.5,12, phh2o ,3021,7.0611, SAMERICA
-71,0, phh2o ,3091,5.03502, SAMERICA
-71,0.5, phh2o ,3091,4.9583, SAMERICA
-71,1, phh2o ,3091,4.92476, SAMERICA
-71,1.5, phh2o ,3090,4.92862, SAMERICA
-71,2, phh2o ,3089,5.02533, SAMERICA
-71,2.5, phh2o ,3088,4.98906, SAMERICA
-71,3, phh2o ,3086,5.16876, SAMERICA
-71,3.5, phh2o ,3085,5.19381, SAMERICA
-71,4, phh2o ,3083,5.06211, SAMERICA
-71,4.5, phh2o ,3081,5.16151, SAMERICA
-71,5, phh2o ,3078,5.18023, SAMERICA
-71,5.5, phh2o ,3076,5.59354, SAMERICA
-71,6, phh2o ,3073,5.7295, SAMERICA
-71,6.5, phh2o ,3070,6.39693, SAMERICA
-71,7, phh2o ,3067,6.78079, SAMERICA
-71,7.5, phh2o ,3063,6.41727, SAMERICA
-71,8, phh2o ,3059,5.85111, SAMERICA
-71,8.5, phh2o ,3055,6.27588, SAMERICA
-71,9, phh2o ,3051,6.61148, SAMERICA
-71,9.5, phh2o ,3047,6.90216, SAMERICA
-71,10, phh2o ,3042,8.17463, SAMERICA
-71,10.5, phh2o ,3037,7.89053, SAMERICA
-71,11, phh2o ,3032,6.97328, SAMERICA
-70.5,0, phh2o ,3091,5.05549, SAMERICA
-70.5,0.5, phh2o ,3091,5.01202, SAMERICA
-70.5,1, phh2o ,3091,4.99093, SAMERICA
-70.5,1.5, phh2o ,3090,4.91994, SAMERICA
-70.5,2, phh2o ,3089,5.02533, SAMERICA
-70.5,2.5, phh2o ,3088,5.05168, SAMERICA
-70.5,3, phh2o ,3086,5.06509, SAMERICA
-70.5,3.5, phh2o ,3085,5.23138, SAMERICA
-70.5,4, phh2o ,3083,5.12638, SAMERICA
-70.5,4.5, phh2o ,3081,5.00524, SAMERICA
-70.5,5, phh2o ,3078,5.14997, SAMERICA
-70.5,5.5, phh2o ,3076,5.38042, SAMERICA
-70.5,6, phh2o ,3073,5.4072, SAMERICA
-70.5,6.5, phh2o ,3070,5.55247, SAMERICA
-70.5,7, phh2o ,3067,6.18601, SAMERICA
-70.5,7.5, phh2o ,3063,6.7975, SAMERICA
-70.5,8, phh2o ,3059,6.01352, SAMERICA
-70.5,8.5, phh2o ,3055,5.99189, SAMERICA
-70.5,9, phh2o ,3051,6.7594, SAMERICA
-70.5,9.5, phh2o ,3047,7.99827, SAMERICA
-70.5,10, phh2o ,3042,8.08296, SAMERICA
-70.5,10.5, phh2o ,3037,8.28477, SAMERICA
-70.5,11, phh2o ,3032,8.34964, SAMERICA
