-74,6.5, ELEV ,3070,373, SAMERICA 
-74,7, ELEV ,3067,132, SAMERICA 
-74,7.5, ELEV ,3063,105, SAMERICA 
-74,8, ELEV ,3059,146, SAMERICA 
-74,8.5, ELEV ,3055,142, SAMERICA 
-74,9, ELEV ,3051,105, SAMERICA 
-74,9.5, ELEV ,3047,98, SAMERICA 
-74,10, ELEV ,3042,569, SAMERICA 
-74,10.5, ELEV ,3037,2608, SAMERICA 
-74,11, ELEV ,3032,528, SAMERICA 
-73.5,0, ELEV ,3091,271, SAMERICA 
-73.5,0.5, ELEV ,3091,298, SAMERICA 
-73.5,1, ELEV ,3091,396, SAMERICA 
-73.5,1.5, ELEV ,3090,396, SAMERICA 
-73.5,2, ELEV ,3089,312, SAMERICA 
-73.5,2.5, ELEV ,3088,244, SAMERICA 
-73.5,3, ELEV ,3086,244, SAMERICA 
-73.5,3.5, ELEV ,3085,247, SAMERICA 
-73.5,4, ELEV ,3083,261, SAMERICA 
-73.5,4.5, ELEV ,3081,1331, SAMERICA 
-73.5,5, ELEV ,3078,2381, SAMERICA 
-73.5,5.5, ELEV ,3076,2889, SAMERICA 
-73.5,6, ELEV ,3073,1771, SAMERICA 
-73.5,6.5, ELEV ,3070,1592, SAMERICA 
-73.5,7, ELEV ,3067,762, SAMERICA 
-73.5,7.5, ELEV ,3063,1294, SAMERICA 
-73.5,8, ELEV ,3059,1321, SAMERICA 
-73.5,8.5, ELEV ,3055,999, SAMERICA 
-73.5,9, ELEV ,3051,813, SAMERICA 
-73.5,9.5, ELEV ,3047,586, SAMERICA 
-73.5,10, ELEV ,3042,620, SAMERICA 
-73.5,10.5, ELEV ,3037,1128, SAMERICA 
-73.5,11, ELEV ,3032,373, SAMERICA 
-73,0, ELEV ,3091,224, SAMERICA 
-73,0.5, ELEV ,3091,356, SAMERICA 
-73,1, ELEV ,3091,413, SAMERICA 
-73,1.5, ELEV ,3090,406, SAMERICA 
-73,2, ELEV ,3089,362, SAMERICA 
-73,2.5, ELEV ,3088,203, SAMERICA 
-73,3, ELEV ,3086,230, SAMERICA 
-73,3.5, ELEV ,3085,227, SAMERICA 
-73,4, ELEV ,3083,251, SAMERICA 
-73,4.5, ELEV ,3081,335, SAMERICA 
-73,5, ELEV ,3078,1612, SAMERICA 
-73,5.5, ELEV ,3076,2872, SAMERICA 
-73,6, ELEV ,3073,2929, SAMERICA 
-73,6.5, ELEV ,3070,2506, SAMERICA 
-73,7, ELEV ,3067,3031, SAMERICA 
-73,7.5, ELEV ,3063,1659, SAMERICA 
-73,8, ELEV ,3059,603, SAMERICA 
-73,8.5, ELEV ,3055,142, SAMERICA 
-73,9, ELEV ,3051,122, SAMERICA 
-73,9.5, ELEV ,3047,437, SAMERICA 
-73,10, ELEV ,3042,1622, SAMERICA 
-73,10.5, ELEV ,3037,820, SAMERICA 
-73,11, ELEV ,3032,274, SAMERICA 
-72.5,0, ELEV ,3091,220, SAMERICA 
